obsID obs_collection dataproduct_type obs_id description type dataURI productType productGroupDescription productSubGroupDescription productDocumentationURL project prvversion proposal_id productFilename size parent_obsid dataRights calib_level filters
24838726 HST image jccd06010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/jccd06010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "DrizzlePac 3.6.2" 13412 jccd06010_drz.fits 224674560 24838726 PUBLIC 3 F606W
24838726 HST image jccd06010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/jccd06010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALACS "DrizzlePac 3.6.2" 13412 jccd06010_drz.fits 224674560 26463116 PUBLIC 3 F606W
83341374 HST image iepo2p010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/iepo2p010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 16741 iepo2p010_drz.fits 217673280 83341374 PUBLIC 3 F275W
83341374 HST image iepo2p010 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/iepo2p010_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 16741 iepo2p010_drz.fits 217673280 83342070 PUBLIC 3 F275W
23819879 HST image ib1b92lrq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ib1b92lrq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92lrq_drz.fits 3435840 23819879 PUBLIC 3 F814W
23819879 HST image ib1b92lrq "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" S mast:HST/product/ib1b92lrq_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92lrq_drz.fits 3435840 26506153 PUBLIC 3 F814W
24795493 HST image ib1b92020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ib1b92020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92020_drz.fits 3438720 24795493 PUBLIC 3 F200LP
24795493 HST image ib1b92020 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ib1b92020_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92020_drz.fits 3438720 26506130 PUBLIC 3 F200LP
24795494 HST image ib1b92030 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ib1b92030_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92030_drz.fits 3438720 24795494 PUBLIC 3 F350LP
24795494 HST image ib1b92030 "DADS DRZ file - Calibrated combined image ACS/WFC3/WFPC2/STIS" D mast:HST/product/ib1b92030_drz.fits SCIENCE "Minimum Recommended Products" DRZ "" CALWF3 "3.7.1 (Oct-18-2023)" 11657 ib1b92030_drz.fits 3438720 26506172 PUBLIC 3 F350LP
